#OTU ID	sample13	sample14	sample15
cef91809ffcf73f85863f1c2a4a2b3ab	0	0	28
27c409e2781ff8570be126f8ba463f08	0	0	15
77528e8e3ba134308f68ec6e4c024f94	0	17	14
80ca5d508ad18edb120ae81ee374162b	0	9	0
1d029086ac7a96c063abfa35e80c06ff	24	27	0
bda133be180f14b04d4cba299b0ff818	0	77	65
03c966ed2f81867187f65e5e66ba3c44	48	0	0
65fcec544e64a821bd614ec46825c0d4	0	55	0
ee2f1835f8236762e7ebd68cb2c50896	57	51	51
f76dd8eefb4b16277d8f26a581fc14e5	0	8	10
7c7191374a1a1c88f691e11167ca8457	0	0	17
d15bc449222795a9ff230013aa633686	0	0	18
b0e2901a3144577502094e1a45b83b8e	0	0	15
cefd32605f7f46944a1d407cde3a5b3b	10	9	0
854df88685cdb1b2e9984700c7cd3d82	0	2	0
2983074b862d1857e3e44e41db43ad82	2	0	0
22d55b8cc194002cd95f5329e48493ad	0	17	0
a1cb31d287e0e009ca36bdd2fc6940ce	0	0	11
b12180b5113d278a132d015dbbe5c83c	0	0	4
652a42d66c7065a2b7d7a1c6a0ff53ba	0	3	0
ece8071f8c4a80568d7515f76469d405	3	0	0
4027cd448999064a89753d52054cef1b	6	0	0
4956a6ed0895cbd919d7a10da44d3031	0	25	0
bdeed64a66fe10f577b6ee6466056bdf	15	0	0
750669bb22c5e6f1d6a55d08f62c8396	0	0	6
9b9bf572e62bed8bfb693dd100d7e574	0	0	2
c9c058771d78e943f4de8a0eae0919f1	0	0	3
d02da197fe3ab7f86a89cb06ac4337f3	0	3	0
e6d62deae6accae9fb8a9960210c632a	0	2	0
ca8605ad787d41a7701bdc8f74dad291	0	0	2
0b71ee9b3cc021b4343359c555454404	0	0	3
ee2e5d5c09cd2ccf7373e907566e7ed4	0	0	3
705963dbb6739b9cd0c87256c2e3f05d	0	0	5
a722c8e502e58651af2c9574d9792186	0	0	2
86db14a1a6eb92e880e6a28329ae79d1	0	0	12
e74d73183503d8301375f1aa3fd54183	0	2	0
73e1ce1af7c002d9c0d2f02e839c67ec	0	0	3
02fc740f45e8ad17b38303e06675de88	0	5	0
83233b11607e6ceeca0bb04473bdb798	0	0	9
